State: 216, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 1,934,353, Time: 17.87
State: 217, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 19.85
State: 218, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,294,353, Time: 19.44
State: 219, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 9,254,353, Time: 82.90
State: 220, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,454,353, Time: 40.29
State: 221, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 2,774,377, Time: 25.53
State: 222, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,014,353, Time: 55.15
State: 223, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,054,353, Time: 46.10
State: 224, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,534,353, Time: 22.04
State: 225, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,654,353, Time: 50.18
State: 226, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,014,353, Time: 54.94
State: 227, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,974,353, Time: 62.34
State: 228, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,014,353, Time: 27.35
State: 229, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 19.36
State: 230, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 2,294,353, Time: 21.09
State: 231, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,094,353, Time: 36.26
State: 232, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 9,014,353, Time: 81.91
State: 233, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,694,353, Time: 70.61
State: 234, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.52
State: 235, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 6,374,353, Time: 56.04
State: 236, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 4,334,353, Time: 38.92
State: 237, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,534,353, Time: 51.23
State: 238, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,374,353, Time: 30.46
State: 239, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 12,494,353, Time: 116.07
State: 240, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,974,353, Time: 63.12
State: 241, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.23
State: 242, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 1,934,353, Time: 17.30
State: 243, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,134,353, Time: 27.27
State: 244, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,014,353, Time: 55.13
State: 245, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 10,334,353, Time: 93.16
State: 246, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.29
State: 247, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,654,353, Time: 52.81
State: 248, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 20,414,353, Time: 193.49
State: 249, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,294,353, Time: 49.09
State: 250, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 2,774,353, Time: 25.26
State: 251, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 13,814,353, Time: 134.88
State: 252, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 11,294,353, Time: 105.05
State: 253, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,214,353, Time: 65.93
State: 254, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,054,353, Time: 43.75
State: 255, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,134,353, Time: 52.12
State: 256, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 3,134,353, Time: 27.40
State: 257, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,934,353, Time: 45.81
State: 258, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,534,353, Time: 48.82
State: 259, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.78
State: 260, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 13,574,353, Time: 128.83
State: 261, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,254,353, Time: 57.61
State: 262, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 20,534,353, Time: 197.64
State: 263, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,094,353, Time: 36.96
State: 264, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.63
State: 265, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 11,654,353, Time: 111.19
State: 266, SolnCost: 18.00, # Moves: 18, # Nodes Gen: 1,814,353, Time: 16.03
State: 267, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.13
State: 268, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.71
State: 269, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 1,574,353, Time: 13.19
State: 270, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,534,353, Time: 48.07
State: 271, SolnCost: 24.00, # Moves: 24, # Nodes Gen: 26,774,353, Time: 255.70
State: 272, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 25,454,353, Time: 233.19
State: 273, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,414,353, Time: 49.91
State: 274, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 14,054,353, Time: 129.05
State: 275, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 8,654,353, Time: 79.34
State: 276, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 3,254,353, Time: 28.08
State: 277, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 10,094,353, Time: 93.58
State: 278, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,014,353, Time: 84.48
State: 279, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,414,353, Time: 49.29
State: 280, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 12,974,353, Time: 121.69
State: 281, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 16,694,353, Time: 155.97
State: 282, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 19,454,353, Time: 181.15
State: 283, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 4,574,353, Time: 41.76
State: 284, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 9,614,353, Time: 88.74
State: 285, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,134,353, Time: 27.93
State: 286, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,974,353, Time: 35.60
State: 287, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,814,353, Time: 43.45
State: 288, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 22,094,353, Time: 216.60
State: 289, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,694,353, Time: 70.68
State: 290, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,454,353, Time: 38.94
